ID;Label;Titulo;Descripcion;Fecha;palabrasTit;palabrasDes
ID;1;boe publica nombres apellidos 4427 espanoles muertos campos concentracion nazis mauthausen gusen;familiares interesados tendran posibilidad presentar alegaciones solicitar correcciones plazo mes asi seran incluidos registro fallecidos estatus todavia tenian;09/08/2019;['boe', 'publica', 'nombres', 'apellidos', '4427', 'espanoles', 'muertos', 'campos', 'concentracion', 'nazis', 'mauthausen', 'gusen'];['familiares', 'interesados', 'tendran', 'posibilidad', 'presentar', 'alegaciones', 'solicitar', 'correcciones', 'plazo', 'mes', 'asi', 'seran', 'incluidos', 'registro', 'fallecidos', 'estatus', 'todavia', 'tenian']
ID;0;rompen belen enviado pedro cura devuelven viva espana;pesebrista tradicion fabricar dos belenes cada ano regalarlos ano elegidos oriol pedro cura laura luelmo encarcelados prision estremera regalo llego celdas;05/01/2018;['rompen', 'belen', 'enviado', 'pedro', 'cura', 'devuelven', 'viva', 'espana'];['pesebrista', 'tradicion', 'fabricar', 'dos', 'belenes', 'cada', 'ano', 'regalarlos', 'ano', 'elegidos', 'oriol', 'pedro', 'cura', 'laura', 'luelmo', 'encarcelados', 'prision', 'estremera', 'regalo', 'llego', 'celdas']
ID;1;ciudadanos acusa psoe andalucia tener palabra da muerto pacto;juan marin dice psoe miedo urnas llevara viernes ejecutiva nacional ciudadanos tomara decisiones informe incumplimientos acuerdos investidura psoe responde actitud marin incomprensible;04/09/2018;['ciudadanos', 'acusa', 'psoe', 'andalucia', 'tener', 'palabra', 'da', 'muerto', 'pacto'];['juan', 'marin', 'dice', 'psoe', 'miedo', 'urnas', 'llevara', 'viernes', 'ejecutiva', 'nacional', 'ciudadanos', 'tomara', 'decisiones', 'informe', 'incumplimientos', 'acuerdos', 'investidura', 'psoe', 'responde', 'actitud', 'marin', 'incomprensible']
ID;1;efecto monica garcia acerca mas madrid psoe sorpasso lejos;politologos analistas consultados publico descartan fenomeno llegue producirse proximo cuatro mayo senalan subida partido regional costa formacion angel gabilondo;27/04/2021;['efecto', 'monica', 'garcia', 'acerca', 'mas', 'madrid', 'psoe', 'sorpasso', 'lejos'];['politologos', 'analistas', 'consultados', 'publico', 'descartan', 'fenomeno', 'llegue', 'producirse', 'proximo', 'cuatro', 'mayo', 'senalan', 'subida', 'partido', 'regional', 'costa', 'formacion', 'angel', 'gabilondo']
ID;0;querais votadme poquito mas proclama marin cierre campana pnc;formacion naranja celebrado ultimo mitin sevilla lider nacional partido francisco franco asegura encuestas pronostican buen resultado cita domingo;17/06/2022;['querais', 'votadme', 'poquito', 'mas', 'proclama', 'marin', 'cierre', 'campana', 'pnc'];['formacion', 'naranja', 'celebrado', 'ultimo', 'mitin', 'sevilla', 'lider', 'nacional', 'partido', 'francisco', 'franco', 'asegura', 'encuestas', 'pronostican', 'buen', 'resultado', 'cita', 'domingo']
ID;1;pp cs creen sentencia empeore expectativas electorales catalunya 10n;frases mas repetidas hace semanas sentencia supone despues conjunto pais adquiere especial relevancia hecho publica plena precampana repeticion electoral puertas;16/10/2019;['pp', 'cs', 'creen', 'sentencia', 'empeore', 'expectativas', 'electorales', 'catalunya', '10n'];['frases', 'mas', 'repetidas', 'hace', 'semanas', 'sentencia', 'supone', 'despues', 'conjunto', 'pais', 'adquiere', 'especial', 'relevancia', 'hecho', 'publica', 'plena', 'precampana', 'repeticion', 'electoral', 'puertas']
ID;1;bloque investidura presiona negociacion presupuestos mas ochocientos enmiendas;recorte enmiendas casa real ministerio defensa asi paralizacion desahucios impuesto diesel impulso politicas crisis climatica fomento infraestructuras apoyo ciencia investigacion cuestiones copado mayoria propuestas correccion cuentas;17/11/2020;['bloque', 'investidura', 'presiona', 'negociacion', 'presupuestos', 'mas', 'ochocientos', 'enmiendas'];['recorte', 'enmiendas', 'casa', 'real', 'ministerio', 'defensa', 'asi', 'paralizacion', 'desahucios', 'impuesto', 'diesel', 'impulso', 'politicas', 'crisis', 'climatica', 'fomento', 'infraestructuras', 'apoyo', 'ciencia', 'investigacion', 'cuestiones', 'copado', 'mayoria', 'propuestas', 'correccion', 'cuentas']
ID;1;psoe denuncia canto conde renovaron dni inclusion lista pp;segun recurso presentado socialistas juzgados contenciosoadministrativo dni acredita fehacientemente domicilio titular tenia empadronamiento enero dos mil veintiuno;11/04/2021;['psoe', 'denuncia', 'canto', 'conde', 'renovaron', 'dni', 'inclusion', 'lista', 'pp'];['segun', 'recurso', 'presentado', 'socialistas', 'juzgados', 'contenciosoadministrativo', 'dni', 'acredita', 'fehacientemente', 'domicilio', 'titular', 'tenia', 'empadronamiento', 'enero', 'dos mil veintiuno']
ID;1;pablo iglesias ganar europeos ampliacion otan hacia ucrania;alegato formado parte acto campana unidas podemos castilla leon;22/01/2022;['pablo', 'iglesias', 'ganar', 'europeos', 'ampliacion', 'otan', 'hacia', 'ucrania'];['alegato', 'formado', 'parte', 'acto', 'campana', 'unidas', 'podemos', 'castilla', 'leon']
ID;1;psoe concluye analisis interno caso mediador descarta comision investigacion;portavoz socialista patxi lopez justificado decision encontrar unicamente cinco diputados grupo parlamentario camara baja cenar mesas separadas respetando toque queda;07/03/2023;['psoe', 'concluye', 'analisis', 'interno', 'caso', 'mediador', 'descarta', 'comision', 'investigacion'];['portavoz', 'socialista', 'patxi', 'lopez', 'justificado', 'decision', 'encontrar', 'unicamente', 'cinco', 'diputados', 'grupo', 'parlamentario', 'camara', 'baja', 'cenar', 'mesas', 'separadas', 'respetando', 'toque', 'queda']
ID;0;granados implica cifuentes estructura paralela aupo aguirre financiacion irregular;exconsejero revela audiencia nacional actual presidenta madrid formo parte nucleo poder elecciones dos mil siete dos mil once dirigido joan subirats ruptura sentimental;12/02/2018;['granados', 'implica', 'cifuentes', 'estructura', 'paralela', 'aupo', 'aguirre', 'financiacion', 'irregular'];['exconsejero', 'revela', 'audiencia', 'nacional', 'actual', 'presidenta', 'madrid', 'formo', 'parte', 'nucleo', 'poder', 'elecciones', 'dos mil siete', 'dos mil once', 'dirigido', 'joan', 'subirats', 'ruptura', 'sentimental']
