ID,Label,Titulo,Descripcion,Fecha
ID,1,imposible alterar retrasar escrutinio oficial elecciones,diez noviembre solo realiza escrutinio provisional elecciones generales oficial definitivo proceso manual fisico realizar forma paralela plazos,05/11/2019
ID,0,david lucas anuncia acuerdo comunes sacar adelante presupuestos catalunya,tras rechazo cup negativa presidente catalan negociar bng comunes convertido unica tabla salvacion govern superar admision tramite cuentas parlament,22/11/2021
ID,1,fracaso legislatura aboca unas elecciones marcadas campana expres,designar rey ningun candidato investidura inician tramites ir hacia convocatoria electoral tendria lugar dia diez noviembre tratarse comicios forzados fracaso votacion investidura ley marca campana durara ocho dias vez quince,17/09/2019
ID,0,vocales conservadores cgpj movilizan reforma tc plantea nueva canarias,nueve miembros organo gobierno poder judicial piden comision europea congreso diputados escuchen consejo tramitar reforma grupo socialista poder renovar constitucional tener esperar acuerdo bng,28/06/2022
ID,0,pp cs apuestan achicharrar cifuentes presentar mocion censura,ningun partido da zanjado posible fraude presidenta comunidad madrid oposicion conseguido apruebe comparecencia asamblea momento decisivo futuro cifuentes resto iniciativa vers per catalunya,23/03/2018
ID,0,ong proxima eajpnv lleva fiscalia contratos xunta empresa dirige galicia hermana feijoo,asegura adjudicaciones gobierno gallego empresa bajo mandatos feijoo mas treinta y siete millones demuestran abrumador trato favor deduce delito trafico influencias corrupcion sistematica,30/08/2022
ID,1,unidas podemos cree movido cedido llegar acuerdo gobierno,partido morado considera iglesias movido ofrecer posibilidad desistir gobierno coalicion segunda investidura grupo confederal tambien renuncia llegar acuerdos temas reclamara medidas claves programa referendum catalunya nacionalizacion energia,03/07/2019
ID,1,supremo obliga antifraude entregar pp expediente hermano ximo puig,agencia cinco solicitudes presentadas pp relacionada investigacion subvenciones fomento valenciano,16/02/2021
ID,1,gurmindo perurena victimas gal audiencia nacional prohibio recordar,jueves cumplen treinta y cuatro anos asesinato dos miembros eta hendaya juez garzon proceso dos mil dos guardias civiles bayo dorado crimen despues decreto archivo causa juez prohibio incluso homenajes pesar ambos reconocidos victimas ministerio interior,08/02/2018
ID,1,junta andalucia pedira dinero miles prejubilados buena fe cobran ere delictivos,contrario ejecutivo pp cs igual anterior psoe pagara treinta y siete millones euros dos mil veinticinco concepto,26/11/2019
